site,ym,year,month,Y_total,Y_record,Y_MC_involved,Y_MC_MC,is_treated,is_experimented,pair_id,IsYr110,IsYr111,IsYr112,IsYr113,IsYr114,IsMonth2,IsMonth3,IsMonth4,IsMonth5,IsMonth6,IsMonth7,IsMonth8,IsMonth9,IsMonth10,IsMonth11,IsMonth12
中興新村圓環,109-08,109,8,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,109-09,109,9,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,109-10,109,10,0,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,109-11,109,11,0,4,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,109-12,109,12,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
中興新村圓環,110-01,110,1,0,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中興新村圓環,110-02,110,2,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中興新村圓環,110-03,110,3,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
中興新村圓環,110-04,110,4,0,3,2,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
中興新村圓環,110-05,110,5,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
中興新村圓環,110-06,110,6,0,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中興新村圓環,110-07,110,7,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
中興新村圓環,110-08,110,8,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,110-09,110,9,0,2,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,110-10,110,10,0,4,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,110-11,110,11,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,110-12,110,12,0,5,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
中興新村圓環,111-01,111,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中興新村圓環,111-02,111,2,0,1,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中興新村圓環,111-03,111,3,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
中興新村圓環,111-04,111,4,0,1,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
中興新村圓環,111-05,111,5,0,2,2,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
中興新村圓環,111-06,111,6,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中興新村圓環,111-07,111,7,0,3,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
中興新村圓環,111-08,111,8,0,2,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,111-09,111,9,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,111-10,111,10,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,111-11,111,11,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,111-12,111,12,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
中興新村圓環,112-01,112,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
中興新村圓環,112-02,112,2,0,3,3,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
中興新村圓環,112-03,112,3,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
中興新村圓環,112-04,112,4,0,2,2,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
中興新村圓環,112-05,112,5,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
中興新村圓環,112-06,112,6,0,3,3,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
中興新村圓環,112-07,112,7,0,2,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
中興新村圓環,112-08,112,8,0,3,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,112-09,112,9,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,112-10,112,10,0,3,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,112-11,112,11,0,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,112-12,112,12,0,2,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
中興新村圓環,113-01,113,1,0,2,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
中興新村圓環,113-02,113,2,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
中興新村圓環,113-03,113,3,0,3,3,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
中興新村圓環,113-04,113,4,0,2,2,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
中興新村圓環,113-05,113,5,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
中興新村圓環,113-06,113,6,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
中興新村圓環,113-07,113,7,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
中興新村圓環,113-08,113,8,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,113-09,113,9,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,113-10,113,10,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,113-11,113,11,0,2,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,114-04,114,4,0,0,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
中興新村圓環,114-05,114,5,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
中興新村圓環,114-06,114,6,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
中興新村圓環,114-07,114,7,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
中興新村圓環,114-08,114,8,0,3,3,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
中興新村圓環,114-09,114,9,0,1,1,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
中興新村圓環,114-10,114,10,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
中興新村圓環,114-11,114,11,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
中興新村圓環,114-12,114,12,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,109-01,109,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,109-02,109,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,109-03,109,3,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,109-04,109,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,109-05,109,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,109-06,109,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,109-07,109,7,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,109-08,109,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,109-09,109,9,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,109-10,109,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,109-11,109,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,109-12,109,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,110-01,110,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,110-02,110,2,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,110-03,110,3,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,110-04,110,4,0,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,110-05,110,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,110-06,110,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,110-07,110,7,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,110-08,110,8,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,110-09,110,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,110-10,110,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,110-11,110,11,0,2,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,110-12,110,12,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,111-01,111,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,111-02,111,2,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,111-03,111,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,111-04,111,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,111-05,111,5,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,111-06,111,6,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,111-07,111,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,111-08,111,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,111-09,111,9,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,111-10,111,10,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,111-11,111,11,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,111-12,111,12,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,112-01,112,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,112-02,112,2,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,112-03,112,3,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,112-04,112,4,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,112-05,112,5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,112-06,112,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,112-07,112,7,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,112-08,112,8,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,112-09,112,9,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,112-10,112,10,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,112-11,112,11,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,112-12,112,12,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,113-01,113,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,113-02,113,2,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,113-03,113,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,113-04,113,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,113-05,113,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,113-06,113,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,113-07,113,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,113-08,113,8,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,113-09,113,9,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,113-10,113,10,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,113-11,113,11,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,113-12,113,12,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
南投市中心圓環,114-01,114,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,114-02,114,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
南投市中心圓環,114-03,114,3,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
南投市中心圓環,114-04,114,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
南投市中心圓環,114-05,114,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
南投市中心圓環,114-06,114,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
南投市中心圓環,114-07,114,7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
南投市中心圓環,114-08,114,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
南投市中心圓環,114-09,114,9,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
南投市中心圓環,114-10,114,10,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
南投市中心圓環,114-11,114,11,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
南投市中心圓環,114-12,114,12,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,109-01,109,1,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,109-02,109,2,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,109-03,109,3,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
三多商圈圓環,109-04,109,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
三多商圈圓環,109-05,109,5,0,1,1,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,109-06,109,6,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,109-07,109,7,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,109-08,109,8,0,1,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,109-09,109,9,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,109-10,109,10,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,109-11,109,11,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,109-12,109,12,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,110-01,110,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,110-02,110,2,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,110-03,110,3,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
三多商圈圓環,110-04,110,4,0,1,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
三多商圈圓環,110-05,110,5,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,110-06,110,6,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,110-07,110,7,0,1,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,110-08,110,8,0,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,110-09,110,9,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,110-10,110,10,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,110-11,110,11,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,110-12,110,12,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,111-01,111,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,111-02,111,2,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,111-03,111,3,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
三多商圈圓環,111-04,111,4,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
三多商圈圓環,111-05,111,5,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,111-06,111,6,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,111-07,111,7,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,111-08,111,8,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,111-09,111,9,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,111-10,111,10,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,111-11,111,11,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,111-12,111,12,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,112-01,112,1,0,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,112-02,112,2,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,112-03,112,3,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
三多商圈圓環,112-04,112,4,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
三多商圈圓環,112-05,112,5,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,112-06,112,6,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,112-07,112,7,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,112-08,112,8,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,112-09,112,9,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,112-10,112,10,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,112-11,112,11,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,112-12,112,12,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,113-05,113,5,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,113-06,113,6,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,113-07,113,7,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,113-08,113,8,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,113-09,113,9,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,113-10,113,10,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,113-11,113,11,0,1,1,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,113-12,113,12,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
三多商圈圓環,114-01,114,1,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,114-02,114,2,0,0,0,0,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
三多商圈圓環,114-03,114,3,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
三多商圈圓環,114-04,114,4,0,0,0,0,1,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
三多商圈圓環,114-05,114,5,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
三多商圈圓環,114-06,114,6,0,1,1,0,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
三多商圈圓環,114-07,114,7,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
三多商圈圓環,114-08,114,8,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
三多商圈圓環,114-09,114,9,0,1,1,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
三多商圈圓環,114-10,114,10,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
三多商圈圓環,114-11,114,11,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
三多商圈圓環,114-12,114,12,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
高雄控制組五,109-01,109,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄控制組五,109-02,109,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
高雄控制組五,109-03,109,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
高雄控制組五,109-04,109,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
高雄控制組五,109-05,109,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
高雄控制組五,109-06,109,6,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
高雄控制組五,109-07,109,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
高雄控制組五,109-08,109,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
高雄控制組五,109-09,109,9,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
高雄控制組五,109-10,109,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
高雄控制組五,109-11,109,11,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
高雄控制組五,109-12,109,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
高雄控制組五,110-01,110,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高雄控制組五,110-02,110,2,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
高雄控制組五,110-03,110,3,0,1,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
高雄控制組五,110-04,110,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
高雄控制組五,110-05,110,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
高雄控制組五,110-06,110,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
高雄控制組五,110-07,110,7,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
